mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
0.381,0.8,5.484,0.38,1.104,0.481,7.449,3.848,0.0
0.294,0.848,5.71,0.353,0.68,0.29,7.033,3.77,0.0
0.16899999999999998,0.862,5.506,0.35,0.57,0.232,6.658,4.47,0.0
0.151,0.87,5.347,0.364,0.633,0.266,6.61,4.313,0.0
0.263,0.845,4.457,0.35100000000000003,0.785,0.349,5.943,3.093,0.0
0.528,0.8,4.739,0.33,0.818,0.35200000000000004,6.239,2.387,0.0
0.698,0.722,4.687,0.328,0.907,0.45,6.372000000000001,2.52,0.0
0.31,0.7979999999999999,4.482,0.331,0.737,0.405,5.954,3.108,0.0
0.409,0.79,4.2860000000000005,0.325,0.768,0.394,5.774,2.794,0.0
0.813,0.725,3.764,0.293,0.769,0.389,5.215,2.175,0.0
1.136,0.71,3.763,0.307,0.7979999999999999,0.447,5.315,1.6669999999999998,0.0
0.633,0.775,4.192,0.311,0.63,0.406,5.539,2.137,0.0
3.3310000000000004,0.65,3.119,0.297,0.8370000000000001,0.5429999999999999,4.797,1.228,0.0
6.541,0.55,1.606,0.29600000000000004,1.011,0.599,3.513,1.146,0.0
6.6960000000000015,0.5920000000000001,1.78,0.267,0.923,0.608,3.5780000000000003,1.122,0.0
5.343,0.57,1.597,0.259,0.991,0.5539999999999999,3.401,1.106,0.0
6.2879999999999985,0.55,1.777,0.274,0.965,0.545,3.5610000000000004,1.148,0.0
5.6179999999999986,0.5379999999999999,1.816,0.261,1.018,0.565,3.661,1.11,0.0
5.858,0.578,1.501,0.259,0.95,0.56,3.27,1.085,0.0
5.393,0.5820000000000001,1.3630000000000002,0.225,0.904,0.537,3.029,1.15,0.0
6.327000000000001,0.545,1.455,0.247,0.924,0.5710000000000001,3.197,1.095,0.0
5.775,0.565,1.618,0.247,0.922,0.542,3.329,1.055,0.0
5.7479999999999976,0.552,1.66,0.265,0.899,0.596,3.42,1.109,0.0
5.562,0.598,1.618,0.254,0.8759999999999999,0.594,3.342,1.09,0.0
5.136,0.5579999999999999,1.924,0.255,0.941,0.544,3.665,1.065,0.0
5.7410000000000005,0.59,1.514,0.257,0.951,0.5429999999999999,3.264,1.098,0.0
6.117000000000001,0.568,1.384,0.23,0.902,0.505,3.022,1.075,0.0
5.942,0.588,1.631,0.233,0.921,0.465,3.25,1.141,0.0
5.99,0.615,1.289,0.238,0.908,0.505,2.94,1.067,0.0
6.8870000000000005,0.562,1.506,0.232,0.942,0.53,3.2110000000000003,1.156,0.0
5.35,0.6,1.421,0.251,0.89,0.464,3.027,1.065,0.0
5.098,0.625,1.04,0.199,0.826,0.468,2.533,1.061,0.0
5.564,0.622,1.33,0.24,0.828,0.5379999999999999,2.9360000000000004,1.105,0.0
5.99,0.6,1.22,0.219,0.883,0.536,2.858,1.075,0.0
5.925,0.612,1.41,0.231,0.885,0.498,3.025,1.1,0.0
6.438,0.622,1.109,0.231,0.841,0.471,2.651,1.086,0.0
5.553,0.632,1.4280000000000002,0.231,0.8859999999999999,0.485,3.029,1.073,0.0
5.627000000000002,0.58,1.315,0.241,0.894,0.526,2.9760000000000004,1.055,0.0
6.9220000000000015,0.5820000000000001,1.41,0.212,0.872,0.484,2.978,1.074,0.0
7.21,0.605,1.19,0.221,0.871,0.519,2.802,1.084,0.0
6.728,0.588,1.274,0.207,0.888,0.482,2.8510000000000004,1.074,0.0
6.61,0.59,1.3230000000000002,0.227,0.913,0.502,2.965,1.056,0.0
5.353,0.575,1.439,0.227,0.878,0.469,3.014,1.068,0.0
5.495,0.612,0.945,0.198,0.851,0.478,2.471,1.0659999999999998,0.0
6.0,0.562,1.1740000000000002,0.223,0.92,0.504,2.821,1.105,0.0
5.865,0.59,1.159,0.209,0.895,0.46,2.724,1.079,0.0
6.297999999999999,0.61,1.257,0.224,0.851,0.503,2.835,1.079,0.0
6.4060000000000015,0.625,1.485,0.24,0.8109999999999999,0.52,3.056,1.092,0.0
6.08,0.598,1.452,0.228,0.873,0.447,3.0,1.057,0.0
4.897,0.61,1.253,0.229,0.901,0.476,2.859,1.098,0.0
8.03,0.55,1.16,0.22399999999999998,0.943,0.604,2.93,1.195,0.0
6.215,0.578,1.131,0.20800000000000002,0.9129999999999999,0.556,2.8080000000000003,1.1159999999999999,0.0
7.619,0.555,1.5930000000000002,0.21,0.946,0.5720000000000001,3.322,1.099,0.0
6.971,0.58,1.4180000000000001,0.24,0.93,0.522,3.11,1.073,0.0
5.43,0.608,1.829,0.23199999999999998,0.9009999999999999,0.493,3.455,1.047,0.0
6.4060000000000015,0.56,1.127,0.209,0.9179999999999999,0.483,2.736,1.052,0.0
5.728,0.5720000000000001,0.9279999999999999,0.207,0.8640000000000001,0.47200000000000003,2.471,1.071,0.0
6.1270000000000024,0.6,1.189,0.21100000000000002,0.895,0.546,2.841,1.0659999999999998,0.0
6.5829999999999975,0.578,1.153,0.21899999999999997,0.8909999999999999,0.485,2.748,1.079,0.0
6.901,0.615,1.319,0.225,0.873,0.52,2.9360000000000004,1.06,0.0
7.455,0.565,1.278,0.22699999999999998,0.934,0.536,2.975,1.056,0.0
5.624,0.605,1.425,0.233,0.892,0.512,3.062,1.058,0.0
6.495,0.602,1.133,0.226,0.877,0.499,2.735,1.04,0.0
7.126,0.59,1.111,0.19699999999999998,0.8740000000000001,0.493,2.675,1.073,0.0
7.456,0.612,1.1420000000000001,0.207,0.862,0.479,2.6910000000000003,1.072,0.0
6.525,0.608,1.426,0.222,0.871,0.499,3.0180000000000002,1.06,0.0
7.38,0.6,0.932,0.205,0.893,0.483,2.513,1.054,0.0
6.426,0.5920000000000001,1.367,0.247,0.8690000000000001,0.528,3.011,1.046,0.0
6.559,0.615,1.1159999999999999,0.183,0.85,0.47,2.6189999999999998,1.0659999999999998,0.0
6.119,0.61,1.265,0.225,0.847,0.483,2.821,1.042,0.0
6.5489999999999995,0.622,1.095,0.191,0.8270000000000001,0.436,2.549,1.067,0.0
6.835,0.585,1.245,0.20800000000000002,0.8909999999999999,0.428,2.773,1.071,0.0
6.806,0.595,1.273,0.225,0.8540000000000001,0.518,2.8710000000000004,1.07,0.0
6.386,0.602,1.328,0.21100000000000002,0.866,0.47,2.875,1.052,0.0
6.206,0.612,1.1520000000000001,0.22399999999999998,0.85,0.485,2.7110000000000003,1.052,0.0
8.029,0.618,1.022,0.205,0.8590000000000001,0.49,2.576,1.057,0.0
6.019,0.6,0.925,0.188,0.828,0.41200000000000003,2.353,1.075,0.0
7.069,0.615,1.297,0.204,0.902,0.485,2.888,1.139,0.0
7.539,0.622,1.031,0.217,0.8590000000000001,0.493,2.6010000000000004,1.072,0.0
6.7479999999999976,0.58,1.045,0.218,0.887,0.474,2.625,1.067,0.0
6.95,0.5820000000000001,0.8140000000000001,0.188,0.857,0.4320000000000001,2.292,1.054,0.0
6.495,0.58,0.9390000000000001,0.2,0.892,0.475,2.5069999999999997,1.112,0.0
6.25,0.618,1.1909999999999998,0.188,0.8490000000000001,0.45799999999999996,2.6860000000000004,1.045,0.0
7.106,0.608,0.882,0.2,0.863,0.39799999999999996,2.343,1.077,0.0
7.426,0.5920000000000001,1.074,0.21600000000000005,0.893,0.47100000000000003,2.654,1.056,0.0
6.733,0.5920000000000001,1.31,0.217,0.85,0.479,2.8560000000000003,1.054,0.0
6.0,0.5920000000000001,1.193,0.20800000000000002,0.89,0.48200000000000004,2.773,1.067,0.0
8.04,0.59,1.2670000000000001,0.201,0.865,0.529,2.863,1.05,0.0
6.95,0.585,0.998,0.17800000000000002,0.879,0.48700000000000004,2.542,1.036,0.0
6.961,0.6,1.129,0.19699999999999998,0.858,0.462,2.645,1.058,0.0
7.812,0.568,1.161,0.204,0.934,0.48,2.779,1.061,0.0
6.648,0.598,1.117,0.20600000000000002,0.8490000000000001,0.486,2.659,1.075,0.0
5.99,0.62,1.2009999999999998,0.20600000000000002,0.83,0.446,2.682,1.043,0.0
6.475,0.602,0.82,0.172,0.8290000000000001,0.41100000000000003,2.231,1.047,0.0
6.225,0.615,1.068,0.193,0.82,0.46299999999999997,2.545,1.102,0.0
7.5539999999999985,0.605,0.9059999999999999,0.182,0.83,0.39299999999999996,2.311,1.055,0.0
7.4860000000000015,0.602,1.396,0.23399999999999999,0.902,0.47,3.002,1.099,0.0
7.059,0.625,1.344,0.214,0.855,0.46299999999999997,2.8760000000000003,1.057,0.0
5.81,0.612,1.403,0.192,0.8640000000000001,0.435,2.8930000000000002,1.048,0.0
6.291,0.5920000000000001,1.022,0.19699999999999998,0.894,0.469,2.583,1.068,0.0
7.1670000000000025,0.57,1.117,0.183,0.903,0.583,2.787,1.211,0.0
7.047999999999999,0.5820000000000001,0.904,0.195,0.898,0.523,2.521,1.089,0.0
6.853,0.59,1.193,0.189,0.879,0.51,2.7710000000000004,1.074,0.0
6.07,0.65,1.105,0.197,0.826,0.5,2.629,1.056,0.0
6.32,0.635,1.334,0.224,0.855,0.503,2.9160000000000004,1.043,0.0
6.851,0.57,0.7829999999999999,0.17600000000000002,0.885,0.524,2.3680000000000003,1.055,0.0
6.614,0.61,0.99,0.198,0.799,0.466,2.4530000000000003,1.047,0.0
6.8610000000000015,0.6,0.905,0.179,0.889,0.478,2.451,1.044,0.0
7.255,0.61,1.2009999999999998,0.21,0.883,0.438,2.733,1.058,0.0
7.198,0.595,1.3130000000000002,0.193,0.841,0.477,2.824,1.055,0.0
7.04,0.612,1.3630000000000002,0.214,0.853,0.476,2.907,1.057,0.0
6.2570000000000014,0.5720000000000001,1.4169999999999998,0.217,0.928,0.4970000000000001,3.059,1.05,0.0
7.42,0.61,1.07,0.189,0.889,0.468,2.617,1.045,0.0
6.635,0.622,0.84,0.16699999999999998,0.831,0.472,2.31,1.063,0.0
7.872999999999997,0.625,1.085,0.192,0.828,0.479,2.584,1.064,0.0
7.835,0.62,1.008,0.21,0.868,0.478,2.563,1.084,0.0
6.7479999999999976,0.602,1.261,0.182,0.8370000000000001,0.448,2.729,1.064,0.0
7.09,0.612,1.006,0.201,0.8190000000000001,0.441,2.467,1.037,0.0
6.2120000000000015,0.65,0.775,0.161,0.7809999999999999,0.446,2.1630000000000003,1.062,0.0
6.83,0.628,1.028,0.19,0.82,0.444,2.482,1.141,0.0
7.23,0.612,0.887,0.191,0.83,0.4320000000000001,2.34,1.044,0.0
7.68,0.598,1.0659999999999998,0.198,0.853,0.438,2.555,1.047,0.0
6.725,0.622,1.416,0.206,0.795,0.453,2.869,1.064,0.0
5.529,0.632,1.355,0.197,0.8270000000000001,0.424,2.804,1.073,0.0
6.2570000000000014,0.642,0.974,0.194,0.8370000000000001,0.446,2.451,1.05,0.0
7.294,0.638,1.029,0.18,0.848,0.444,2.501,1.061,0.0
7.206,0.622,0.995,0.195,0.847,0.48,2.517,1.06,0.0
7.327000000000001,0.625,1.295,0.191,0.8809999999999999,0.431,2.799,1.056,0.0
6.66,0.578,1.054,0.191,0.893,0.428,2.5660000000000003,1.05,0.0
5.68,0.65,1.453,0.217,0.8270000000000001,0.402,2.899,1.058,0.0
6.402,0.628,0.9,0.16899999999999998,0.8290000000000001,0.412,2.31,1.063,0.0
6.36,0.615,1.004,0.18600000000000005,0.85,0.417,2.456,1.036,0.0
6.564,0.63,0.862,0.174,0.8190000000000001,0.462,2.317,1.046,0.0
7.3039999999999985,0.632,1.124,0.201,0.8290000000000001,0.385,2.539,1.055,0.0
7.26,0.62,1.431,0.207,0.86,0.4270000000000001,2.925,1.0490000000000002,0.0
6.33,0.61,1.153,0.184,0.8140000000000001,0.443,2.595,1.047,0.0
5.5939999999999985,0.612,1.181,0.207,0.883,0.499,2.77,1.052,0.0
7.5,0.642,1.064,0.172,0.809,0.392,2.437,1.0490000000000002,0.0
6.48,0.5920000000000001,0.754,0.166,0.851,0.43,2.2,1.052,0.0
6.806,0.6,1.19,0.17800000000000002,0.81,0.423,2.6010000000000004,1.07,0.0
7.67,0.625,0.883,0.2,0.89,0.471,2.445,1.067,0.0
6.069,0.66,1.412,0.189,0.805,0.418,2.824,1.052,0.0
7.36,0.598,1.072,0.183,0.8859999999999999,0.419,2.56,1.051,0.0
6.745,0.585,0.738,0.16699999999999998,0.831,0.4320000000000001,2.169,1.062,0.0
6.822,0.635,1.028,0.188,0.81,0.456,2.483,1.057,0.0
7.49,0.608,0.889,0.18,0.847,0.441,2.357,1.048,0.0
6.942,0.595,1.043,0.194,0.852,0.406,2.496,1.073,0.0
7.529,0.585,1.21,0.195,0.91,0.4970000000000001,2.812,1.06,0.0
5.99,0.638,1.166,0.194,0.828,0.42,2.608,1.064,0.0
6.09,0.628,1.265,0.194,0.862,0.449,2.77,1.045,0.0
7.165,0.57,0.9890000000000001,0.185,0.898,0.61,2.6830000000000003,1.234,0.0
7.452000000000001,0.605,0.825,0.18600000000000005,0.895,0.519,2.424,1.084,0.0
6.921,0.63,1.367,0.2,0.8420000000000001,0.5329999999999999,2.9419999999999997,1.063,0.0
7.059,0.578,1.137,0.192,0.9009999999999999,0.486,2.716,1.074,0.0
5.98,0.625,1.2790000000000001,0.214,0.843,0.4920000000000001,2.8280000000000003,1.058,0.0
7.01,0.615,0.9540000000000001,0.175,0.8190000000000001,0.457,2.405,1.047,0.0
5.98,0.578,0.8690000000000001,0.183,0.8270000000000001,0.43799999999999994,2.3169999999999997,1.05,0.0
6.733,0.615,0.9209999999999999,0.17600000000000002,0.852,0.436,2.385,1.063,0.0
7.431,0.588,1.252,0.207,0.8859999999999999,0.446,2.79,1.0659999999999998,0.0
7.324,0.618,1.18,0.19699999999999998,0.807,0.49,2.675,1.068,0.0
6.39,0.63,1.114,0.18600000000000005,0.828,0.475,2.603,1.048,0.0
6.0,0.588,1.294,0.214,0.8809999999999999,0.474,2.862,1.068,0.0
7.98,0.6679999999999999,0.968,0.18899999999999997,0.823,0.46399999999999997,2.444,1.055,0.0
6.775,0.618,0.778,0.182,0.82,0.465,2.245,1.058,0.0
6.816,0.61,1.253,0.19,0.84,0.435,2.719,1.074,0.0
7.1979999999999995,0.5820000000000001,1.014,0.214,0.927,0.509,2.6639999999999997,1.0659999999999998,0.0
6.441,0.588,1.07,0.175,0.8759999999999999,0.45,2.571,1.057,0.0
7.455,0.608,0.977,0.185,0.8320000000000001,0.457,2.451,1.051,0.0
6.8320000000000025,0.6,0.755,0.16399999999999998,0.81,0.39799999999999996,2.127,1.0490000000000002,0.0
6.784,0.605,0.91,0.179,0.8079999999999999,0.45,2.346,1.194,0.0
7.4060000000000015,0.615,1.028,0.18899999999999997,0.878,0.457,2.552,1.072,0.0
7.35,0.585,1.21,0.20199999999999999,0.878,0.47100000000000003,2.761,1.078,0.0
7.237999999999999,0.602,1.3030000000000002,0.19899999999999998,0.883,0.41600000000000004,2.8,1.063,0.0
6.0,0.628,1.3530000000000002,0.193,0.8140000000000001,0.41700000000000004,2.7769999999999997,1.057,0.0
6.8420000000000005,0.605,1.028,0.19399999999999998,0.8690000000000001,0.42200000000000004,2.513,1.0590000000000002,0.0
7.1979999999999995,0.645,0.825,0.174,0.8490000000000001,0.483,2.331,1.054,0.0
7.402,0.62,0.848,0.17300000000000001,0.8340000000000001,0.384,2.239,1.0590000000000002,0.0
7.52,0.652,1.113,0.19899999999999998,0.804,0.428,2.544,1.043,0.0
7.614,0.645,1.137,0.168,0.8240000000000001,0.455,2.585,1.061,0.0
6.0,0.642,1.365,0.205,0.821,0.396,2.7880000000000003,1.045,0.0
6.61,0.62,0.8340000000000001,0.16,0.8220000000000001,0.39899999999999997,2.214,1.048,0.0
6.7620000000000005,0.5920000000000001,0.9470000000000001,0.18600000000000005,0.825,0.439,2.397,1.046,0.0
6.26,0.63,0.961,0.165,0.825,0.425,2.376,1.047,0.0
7.2970000000000015,0.6,0.992,0.19,0.85,0.38799999999999996,2.42,1.053,0.0
7.35,0.63,1.163,0.177,0.802,0.391,2.5340000000000003,1.046,0.0
7.1,0.63,1.1420000000000001,0.18899999999999997,0.845,0.45,2.6260000000000003,1.046,0.0
5.343,0.64,1.227,0.19699999999999998,0.8420000000000001,0.4320000000000001,2.699,1.065,0.0
8.02,0.6,0.99,0.177,0.865,0.42,2.452,1.056,0.0
6.5,0.66,0.7809999999999999,0.159,0.787,0.39,2.117,1.05,0.0
7.04,0.628,1.1740000000000002,0.179,0.82,0.38,2.553,1.097,0.0
7.902,0.655,0.863,0.196,0.8,0.426,2.286,1.074,0.0
6.803999999999999,0.612,1.285,0.177,0.861,0.433,2.755,1.054,0.0
7.71,0.642,0.87,0.184,0.757,0.405,2.217,1.046,0.0
7.495,0.625,0.6940000000000001,0.166,0.8140000000000001,0.436,2.11,1.073,0.0
7.471,0.66,0.8029999999999999,0.17800000000000002,0.778,0.40399999999999997,2.164,1.114,0.0
7.614,0.625,0.7929999999999999,0.18100000000000002,0.858,0.415,2.247,1.055,0.0
8.39,0.588,1.079,0.188,0.8759999999999999,0.41100000000000003,2.5540000000000003,1.0490000000000002,0.0
7.941,0.64,1.22,0.192,0.8190000000000001,0.457,2.688,1.063,0.0
6.01,0.648,1.178,0.177,0.789,0.385,2.529,1.062,0.0
6.931,0.6579999999999999,0.9229999999999999,0.192,0.815,0.447,2.377,1.04,0.0
14.214,0.522,1.679,0.348,0.99,0.951,3.969,3.234,0.0
13.673,0.585,1.589,0.28,0.862,0.757,3.488,2.9560000000000004,0.0
12.158,0.605,1.661,0.298,0.804,0.693,3.457,2.904,0.0
11.877,0.615,1.416,0.312,0.8340000000000001,0.777,3.338,2.98,0.0
14.267,0.612,1.403,0.287,0.862,0.6759999999999999,3.228,2.949,0.0
12.175999999999998,0.645,1.462,0.287,0.851,0.723,3.324,3.0,0.0
13.617,0.585,1.644,0.305,0.892,0.736,3.5780000000000003,2.98,0.0
13.382,0.652,1.144,0.252,0.7909999999999999,0.5529999999999999,2.739,2.904,0.0
13.535,0.625,1.127,0.287,0.841,0.682,2.937,2.92,0.0
12.257,0.62,1.439,0.261,0.8109999999999999,0.634,3.145,2.919,0.0
11.272,0.595,1.71,0.312,0.8690000000000001,0.665,3.555,2.954,0.0
12.228,0.638,1.3019999999999998,0.279,0.848,0.635,3.064,2.883,0.0
12.547,0.622,1.287,0.257,0.836,0.624,3.005,2.991,0.0
11.419,0.6579999999999999,1.454,0.276,0.8109999999999999,0.696,3.236,3.014,0.0
12.349,0.615,1.39,0.28,0.8170000000000001,0.66,3.147,2.978,0.0
13.718,0.615,1.149,0.247,0.807,0.573,2.775,2.886,0.0
13.75,0.635,1.238,0.253,0.784,0.5770000000000001,2.852,2.8560000000000003,0.0
13.32,0.648,1.462,0.24,0.787,0.58,3.069,2.958,0.0
12.167,0.5820000000000001,1.327,0.282,0.856,0.667,3.132,2.883,0.0
14.53,0.655,1.197,0.27,0.8140000000000001,0.626,2.906,2.864,0.0
13.255,0.5920000000000001,1.4069999999999998,0.276,0.8909999999999999,0.687,3.26,2.8710000000000004,0.0
12.709,0.645,1.279,0.268,0.833,0.6559999999999999,3.036,2.935,0.0
11.970999999999998,0.618,1.3130000000000002,0.255,0.8109999999999999,0.58,2.959,2.905,0.0
13.277,0.655,1.091,0.242,0.747,0.546,2.6260000000000003,2.8480000000000003,0.0
13.912,0.6,1.166,0.274,0.812,0.598,2.85,2.924,0.0
13.78,0.645,1.352,0.233,0.802,0.569,2.9560000000000004,2.901,0.0
13.167,0.61,1.474,0.265,0.856,0.613,3.207,2.895,0.0
14.33,0.662,1.261,0.27,0.83,0.616,2.977,2.832,0.0
13.962,0.645,1.138,0.245,0.737,0.597,2.716,2.912,0.0
12.901,0.66,1.469,0.277,0.821,0.615,3.182,2.911,0.0
13.706,0.585,1.362,0.254,0.8540000000000001,0.573,3.042,2.901,0.0
13.745,0.652,1.0759999999999998,0.24,0.772,0.523,2.61,2.863,0.0
13.67,0.61,1.195,0.256,0.785,0.5670000000000001,2.802,2.92,0.0
12.961,0.68,1.3030000000000002,0.231,0.748,0.6,2.883,2.977,0.0
12.327,0.628,1.389,0.249,0.875,0.601,3.114,2.897,0.0
14.28,0.6679999999999999,1.193,0.257,0.736,0.535,2.721,2.877,0.0
15.245,0.605,1.224,0.247,0.847,0.535,2.854,2.914,0.0
13.114,0.655,1.467,0.267,0.8270000000000001,0.615,3.176,3.024,0.0
14.294,0.642,1.29,0.254,0.815,0.585,2.944,2.903,0.0
14.417,0.665,1.02,0.227,0.75,0.523,2.521,2.914,0.0
14.476,0.61,1.013,0.249,0.81,0.618,2.6910000000000003,2.9730000000000003,0.0
12.245,0.6679999999999999,1.45,0.226,0.722,0.544,2.943,2.951,0.0
12.353,0.608,1.114,0.238,0.853,0.55,2.755,2.889,0.0
14.5,0.645,1.245,0.249,0.802,0.4970000000000001,2.792,2.872,0.0
14.127,0.615,1.277,0.234,0.797,0.545,2.854,2.904,0.0
12.46,0.698,1.297,0.256,0.75,0.606,2.909,2.917,0.0
14.369000000000002,0.6,1.257,0.259,0.7909999999999999,0.608,2.914,2.92,0.0
15.039,0.682,0.908,0.214,0.757,0.515,2.395,2.9330000000000003,0.0
15.129,0.648,1.016,0.247,0.759,0.544,2.5660000000000003,2.897,0.0
13.77,0.67,1.3119999999999998,0.224,0.7509999999999999,0.546,2.832,2.947,0.0
5.409,0.52,4.475,1.607,1.276,1.249,8.607000000000001,4.4,0.0
2.576,0.5579999999999999,5.678,0.619,1.206,1.113,8.617,5.406000000000001,0.0
2.799,0.58,6.102,0.616,1.168,1.444,9.33,4.8180000000000005,0.0
1.5219999999999998,0.598,5.994,1.505,1.722,1.9240000000000002,11.144,5.625,0.0
1.238,0.622,5.895,0.568,1.014,0.8859999999999999,8.363,6.888999999999999,0.0
9.246,0.507,3.581,0.972,1.188,1.117,6.858,1.805,0.0
4.764,0.57,5.21,0.817,1.192,1.213,8.432,2.03,0.0
3.18,0.528,5.174,0.795,1.483,1.645,9.097,2.41,0.0
2.176,0.61,5.977,0.732,1.576,1.233,9.517,2.269,0.0
1.776,0.652,6.228,0.528,0.936,0.914,8.605,2.447,0.0
1.813,0.59,6.141,0.536,1.087,0.912,8.676,2.608,0.0
1.529,0.612,5.842,0.541,1.054,0.889,8.326,3.146,0.0
1.223,0.638,6.196,0.559,0.932,0.892,8.579,2.914,0.0
1.268,0.602,5.857,0.645,1.043,0.97,8.514,3.329,0.0
1.483,0.598,5.784,0.52,0.973,0.899,8.176,3.351,0.0
1.693,0.608,6.076,0.546,0.962,0.876,8.46,2.964,0.0
1.6,0.618,5.69,0.513,0.966,0.83,8.001,2.711,0.0
1.288,0.635,5.989,0.544,0.935,0.802,8.271,2.712,0.0
1.549,0.582,6.164,0.534,0.968,0.924,8.591,2.978,0.0
1.09,0.642,5.965,0.541,0.923,0.832,8.261,3.732,0.0
0.926,0.682,5.965,0.526,0.87,0.676,8.037,3.821,0.0
1.079,0.62,6.057,0.531,0.943,0.843,8.375,3.846,0.0
1.014,0.602,6.148,0.569,0.955,1.028,8.699,3.887,0.0
0.878,0.608,6.088,0.563,0.959,0.97,8.58,4.415,0.0
0.862,0.652,6.052,0.569,0.909,0.918,8.449,4.24,0.0
0.739,0.628,6.369,0.558,0.918,1.075,8.919,4.4,0.0
0.766,0.662,6.172,0.561,0.888,0.943,8.564,4.704,0.0
0.697,0.605,6.12,0.589,0.971,1.119,8.799,5.637,0.0
0.737,0.662,6.246,0.556,0.905,0.919,8.625,4.84,0.0
0.667,0.662,6.281,0.569,0.899,0.87,8.619,5.459,0.0
0.629,0.655,6.35,0.561,0.885,0.972,8.768,4.788,0.0
0.906,0.625,6.067,0.555,0.939,0.911,8.473,4.413,0.0
0.711,0.628,6.099,0.555,0.919,0.868,8.442,5.015,0.0
0.661,0.64,6.086,0.569,0.932,0.921,8.507,4.817,0.0
0.926,0.635,5.949,0.547,0.942,0.88,8.318,3.908,0.0
0.925,0.65,6.026,0.55,0.909,0.867,8.352,3.691,0.0
1.101,0.622,5.958,0.535,0.942,0.876,8.312,3.305,0.0
1.145,0.618,5.806,0.542,0.943,0.942,8.234,3.061,0.0
1.207,0.628,5.932,0.534,0.926,0.877,8.269,3.214,0.0
1.072,0.622,6.056,0.541,0.932,0.897,8.426,4.44,0.0
1.044,0.608,5.937,0.543,0.953,0.933,8.366,3.941,0.0
1.155,0.602,5.983,0.546,0.959,0.918,8.406,3.647,0.0
1.294,0.59,6.02,0.547,0.966,0.939,8.471,3.515,0.0
1.066,0.655,5.952,0.55,0.901,0.832,8.235,3.158,0.0
1.128,0.602,5.842,0.523,0.959,0.946,8.27,4.108,0.0
0.983,0.612,6.081,0.531,0.932,0.905,8.448,4.206,0.0
1.876,0.585,5.694,0.493,0.983,0.896,8.065,3.039,0.0
1.515,0.608,5.875,0.515,0.965,0.858,8.212,3.13,0.0
1.682,0.602,6.01,0.531,0.955,0.908,8.404,2.784,0.0
1.819,0.6,5.608,0.496,0.942,0.861,7.907,3.035,0.0
